rallyid,server,returner,winner,reason,serve,strokes,x,y,score,totaltime,ServerWinsPoint
1,Djokovic,Nadal,Djokovic,winner,first,3,1.92,21.96,"0:0, 15:0",2.9200000000000004,1
3,Djokovic,Nadal,Djokovic,out,second,4,3.33,-0.39,"0:0, 30:0",4.159999999999997,1
6,Djokovic,Nadal,Djokovic,net,first,10,6.41,12.78,"1:0, 0:0",10.399999999999991,1
8,Nadal,Djokovic,Djokovic,out,second,7,0.5,18.67,"1:0, 15:0",7.200000000000017,0
9,Nadal,Djokovic,Djokovic,winner,first,12,3.65,9.5,"1:0, 30:0",14.519999999999982,0
11,Nadal,Djokovic,Nadal,winner,first,4,7.34,18.76,"1:0, 30:15",2.2799999999999727,1
13,Nadal,Djokovic,Djokovic,net,second,13,4.01,11.37,"1:0, 40:15",14.799999999999898,0
14,Nadal,Djokovic,Djokovic,out,first,3,1.07,25.85,"2:0, 0:0",2.640000000000043,0
15,Djokovic,Nadal,Djokovic,out,first,2,4.39,27.45,"2:0, 15:0",0.8000000000000114,1
17,Djokovic,Nadal,Djokovic,out,first,4,5.45,30.23,"2:0, 30:0",4.0,1
18,Djokovic,Nadal,Djokovic,out,first,6,8.55,22.48,"2:0, 40:0",6.399999999999977,1
19,Djokovic,Nadal,Djokovic,ace,first,1,1.62,10.23,"3:0, 0:0",0.0,1
20,Nadal,Djokovic,Djokovic,winner,first,12,0.53,21.45,"3:0, 15:0",14.680000000000064,0
22,Nadal,Djokovic,Nadal,out,second,2,4.77,24.68,"3:0, 15:15",0.7599999999999909,1
24,Nadal,Djokovic,Djokovic,winner,first,4,7.3,22.58,"3:0, 30:15",3.3600000000000136,0
25,Nadal,Djokovic,Nadal,winner,first,3,8.4,3.22,"3:0, 30:30",2.519999999999982,1
26,Nadal,Djokovic,Djokovic,out,first,7,9.0,4.04,"3:0, 40:30",7.440000000000055,0
28,Nadal,Djokovic,Nadal,out,first,2,8.34,24.45,"3:0, 40:40",0.8400000000000318,1
29,Nadal,,Nadal,out,first,2,2.27,24.56,"3:0, 40:Ad",0.8000000000000682,1
30,Nadal,Djokovic,Nadal,out,first,4,0.88,8.57,"3:1, 0:0",3.3999999999999773,1
31,Djokovic,Nadal,Djokovic,ace,first,1,4.63,16.1,"3:1, 15:0",0.0,1
32,Djokovic,__undefined__,Djokovic,net,first,6,1.78,12.85,"3:1, 30:0",7.32000000000005,1
33,Djokovic,Nadal,Djokovic,ace,first,1,4.23,18.13,"3:1, 40:0",0.0,1
34,Djokovic,Nadal,Djokovic,winner,first,5,7.33,20.36,"4:1, 0:0",4.599999999000147,1
36,Nadal,Djokovic,Djokovic,out,second,3,0.2,23.01,"4:1, 15:0",2.160000000000082,0
37,Nadal,Djokovic,Nadal,net,first,2,7.47,17.52,"4:1, 15:15",0.8400000000001455,1
38,Nadal,Djokovic,Nadal,winner,first,3,3.19,16.26,"4:1, 15:30",3.119999999999891,1
40,Nadal,Djokovic,Djokovic,out,second,11,8.45,24.56,"4:1, 30:30",11.920000000000073,0
