rallyid,strokeid,stroke,type_of_shot,time_diff,server_x,server_y,receiver_x,receiver_y,server_distance_from_baseline,receiver_distance_from_baseline,server_x_prev,server_y_prev,receiver_x_prev,receiver_y_prev,ServerWinsPoint
29,1,forehand,first_serve,0.0,7.36,-1.009999999999998,1.563409519623404,25.101359115151872,2.1297241605428616,4.138219642186152,,,,,1
135,7,forehand,volley,1.0399999999999636,4.84,5.99,4.8268691147091545,21.076300186000207,6.024626544442403,2.782647830106468,7.36,-1.009999999999998,1.563409519623404,25.101359115151872,1
149,2,forehand,return,0.9200000000000728,4.901133304302556,0.24150416256404483,8.75,24.43,0.6318422104294809,3.3290726937091653,4.84,5.99,4.8268691147091545,21.076300186000207,0
152,11,forehand,topspin,1.0799999999999272,1.5600000000000005,0.5500000000000007,7.479595491476418,24.768378230518376,3.963347701123382,2.2260509206172,4.901133304302556,0.24150416256404483,8.75,24.43,0
154,14,backhand,topspin,1.3599999999996726,5.856172741721536,-1.9272587097872638,8.4,24.03,1.9626755561345206,2.9257007707556153,1.5600000000000005,0.5500000000000007,7.479595491476418,24.768378230518376,1
160,1,forehand,second_serve,0.0,4.91,-5.219999999999999,9.464735747645518,24.4596901310344,5.251573573701505,4.037359941262753,,,,,1
160,2,backhand,return,1.0399999999999636,7.013940359249231,0.4683674175497998,4.010000000000001,25.67,1.5990705612834712,2.397441344433686,4.91,-5.219999999999999,9.464735747645518,24.4596901310344,1
160,3,forehand,topspin,1.5200000000004366,9.690000000000001,6.600000000000001,4.883796624948274,25.126630373409284,7.8257284006027215,1.4747402689158564,7.013940359249231,0.4683674175497998,4.010000000000001,25.67,1
161,7,backhand,topspin,1.0799999999999272,3.29,-3.669999999999998,6.579916004286066,24.292793482460194,4.2763214331946555,1.2090484738402407,9.690000000000001,6.600000000000001,4.883796624948274,25.126630373409284,1
168,5,backhand,volley,1.199999999999818,6.99,6.54,4.655561289768239,18.701469996447514,6.710933243595856,5.145817288926391,3.29,-3.669999999999998,6.579916004286066,24.292793482460194,1
1,1,forehand,first_serve,0.0,6.5,-0.24,1.03,27.44,1.0429884946632917,5.765641768268299,,,,,1
1,2,backhand,slice,0.92,6.17,1.11,0.05,25.59,1.3043484963766392,5.72846619960352,6.5,-0.24,1.03,27.44,1
1,3,forehand,topspin,2.0000000000000004,1.42,2.33,4.75,26.45,4.685416203497828,2.7693185082254423,6.17,1.11,0.05,25.59,1
3,1,forehand,second_serve,0.0,4.48,-0.37,7.88,26.47,1.0709458436354284,3.6016836340800378,,,,,1
3,2,forehand,slice,0.9599999999999937,4.47,0.19,7.4,24.79,1.0326301370771633,2.165023094565043,4.48,-0.37,7.88,26.47,1
3,3,backhand,topspin,1.6000000000000014,1.66,0.43,6.12,25.84,3.8490940492536687,2.1556495540787686,4.47,0.19,7.4,24.79,1
3,4,forehand,topspin,1.6000000000000014,3.12,-0.94,8.14,27.07,2.544960706965827,4.2276618833582225,1.66,0.43,6.12,25.84,1
6,1,forehand,first_serve,0.0,4.45,-0.25,7.81,28.35,1.0647652323399748,5.127428692824504,,,,,1
6,2,forehand,topspin,0.7999999999999972,4.47,1.26,8.84,27.57,1.617969406385671,5.061632641747126,4.45,-0.25,7.81,28.35,1
6,3,backhand,topspin,1.2000000000000028,1.57,1.37,8.12,26.94,4.147785553762393,4.114465335860785,4.47,1.26,8.84,27.57,1
6,4,forehand,topspin,1.1999999999999886,1.66,1.41,8.96,26.45,4.076607045080505,4.382296772241697,1.57,1.37,8.12,26.94,1
6,5,forehand,topspin,1.2000000000000028,3.11,-0.08,7.66,26.09,2.376346986447897,3.1728102685159087,1.66,1.41,8.96,26.45,1
6,6,forehand,topspin,1.2000000000000028,3.55,-0.94,7.35,25.14,2.151238015655172,2.308208179519342,3.11,-0.08,7.66,26.09,1
6,7,backhand,topspin,0.7999999999999972,3.25,-0.08,6.42,25.37,2.236431309027845,1.8445392378586036,3.55,-0.94,7.35,25.14,1
6,8,forehand,topspin,1.6000000000000085,3.86,-1.16,8.38,28.74,1.996553280030363,5.743050147787321,3.25,-0.08,6.42,25.37,1
6,9,backhand,topspin,1.1999999999999886,1.11,-0.62,7.12,26.33,4.418713047936016,3.029145919232018,3.86,-1.16,8.38,28.74,1
6,10,backhand,slice,1.2000000000000028,2.05,-0.71,3.03,27.07,3.507609584888262,4.105012180249895,1.11,-0.62,7.12,26.33,1
8,1,forehand,second_serve,0.0,5.48,-0.4,1.64,23.86,0.4000312487793923,3.8458321596242344,,,,,0
8,2,backhand,return,0.8000000000000114,5.83,1.29,3.82,24.33,1.3353370361073642,1.7534893783539147,5.48,-0.4,1.64,23.86,0
8,3,forehand,topspin,1.1999999999999886,5.49,-0.32,5.26,25.26,0.3200390601161052,1.497005344011838,5.83,1.29,3.82,24.33,0
